run_idx,ts,scenario,status,min_ttc,max_jerk,max_yaw,max_lat_accel,brake_delay,recovery,lane_dev,overshoot,rtf,slowmo,latency_med,latency_p95,collisions,completed,n_metric_frames,n_events,duration_s,jsonl
120,2026-06-30T01:23:54,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0120_C2_20260630_012249.jsonl
121,2026-06-30T01:25:03,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0121_C1_20260630_012359.jsonl
122,2026-06-30T01:27:13,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0122_C2_20260630_012508.jsonl
123,2026-06-30T01:28:22,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0123_C1_20260630_012718.jsonl
124,2026-06-30T01:29:32,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0124_C2_20260630_012827.jsonl
125,2026-06-30T01:31:41,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0125_C1_20260630_012937.jsonl
126,2026-06-30T01:33:51,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0126_C2_20260630_013146.jsonl
127,2026-06-30T01:36:01,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0127_C1_20260630_013356.jsonl
128,2026-06-30T01:37:10,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0128_C2_20260630_013606.jsonl
129,2026-06-30T01:38:20,C1,exit_1,,,,,,,,,,,,,,0,,,62.1,run0129_C1_20260630_013715.jsonl
130,2026-06-30T01:39:29,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0130_C2_20260630_013825.jsonl
131,2026-06-30T01:40:38,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0131_C1_20260630_013934.jsonl
132,2026-06-30T01:41:48,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0132_C2_20260630_014043.jsonl
133,2026-06-30T01:43:57,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0133_C1_20260630_014153.jsonl
134,2026-06-30T01:45:07,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0134_C2_20260630_014402.jsonl
135,2026-06-30T01:46:16,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0135_C1_20260630_014512.jsonl
136,2026-06-30T01:48:26,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0136_C2_20260630_014621.jsonl
137,2026-06-30T01:49:35,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0137_C1_20260630_014831.jsonl
